cep,count,state,region,country,lat,lon
66050000,1,Pará,Região Norte,Brasil,-1.433276,-48.486226
66823093,1,Pará,Região Norte,Brasil,-1.45056,-48.4682453
Av C,1, Gorey, County Wexford,Ireland,52.67239285,-6.292785036903743
66040100,3,Pará,Região Norte,Brasil,-1.4627065,-48.4946224
Amapa,1,Amapá,Região Norte,Brasil,1.3545441999999999,-51.9161977
68550380,1,Pará,Região Norte,Brasil,-8.0412095,-50.017176
68458000,1,Pará,Região Norte,Brasil,-3.7585899,-49.6667781
66063154,1,NaN,NAN,NAN,NAN,NAN
68742891,1,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
66083530,1,Pará,Região Norte,Brasil,-1.4175986,-48.475247
66095460,1,Pará,Região Norte,Brasil,-1.4387341,-48.4535563
66093674,1,Pará,Região Norte,Brasil,-1.4336023,-48.4603247
89111007,1,Santa Catarina,Região Sul,Brasil,-26.8993915,-49.0037404
